City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,73.92,light rain,-23.1203,-134.9692,People ThankYou
1,Atuona,PF,77.43,scattered clouds,-9.8,-139.0333,Villa Enata
2,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
24,Cap Malheureux,MU,70.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
35,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
36,Hithadhoo,MV,80.26,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Itarema,BR,79.14,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
44,Nurota,UZ,77.09,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
45,Enshi,CN,71.13,few clouds,30.3,109.4833,Moevenpick Enshi
46,Meulaboh,ID,75.69,overcast clouds,4.1363,96.1285,Kost Pria
49,Axim,GH,77.5,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
52,Jamestown,US,81.72,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
54,Sola,VU,79.11,scattered clouds,-13.8833,167.55,Leumerus Bungalows
57,Terney,RU,71.17,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
59,Iroquois Falls,CA,75.34,light rain,48.7669,-80.6831,Auberge MacDonald Guest Inn
61,Namatanai,PG,78.8,light rain,-3.6667,152.4333,Seagulls Inn Namatani
63,Karachi,PK,82.22,smoke,24.9056,67.0822,Sadaat
64,Farau,RO,73.22,clear sky,46.3333,24.0167,CABANA DIN HODĂII
68,Torbay,CA,74.17,broken clouds,47.6666,-52.7314,Gallows Cove
70,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
72,Tripoli,LY,80.6,clear sky,32.8752,13.1875,Hotel Al-Safwa
73,Guadalupe Y Calvo,MX,72.54,overcast clouds,26.1,-106.9667,Hotel Pizarro
75,Chitrakonda,IN,73.0,moderate rain,18.1167,82.0833,Government girls hostel
