City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.92,79,40,14.34,light rain
1,Atuona,PF,-9.8,-139.0333,77.43,73,35,20.67,scattered clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,78.76,79,69,8.81,broken clouds
3,Monaghan,IE,54.25,-6.9667,57.22,94,93,9.57,overcast clouds
4,Odweyne,SO,9.4092,45.064,68.34,66,82,18.66,broken clouds
5,Fortuna,US,40.5982,-124.1573,68.92,74,1,13.8,clear sky
6,Nikolskoye,RU,59.7035,30.7861,67.8,98,97,3.27,overcast clouds
7,Lebu,CL,-37.6167,-73.65,53.71,73,0,15.93,clear sky
8,Clyde River,CA,70.4692,-68.5914,52.03,66,75,6.91,broken clouds
9,Upernavik,GL,72.7868,-56.1549,48.13,77,94,7.63,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,56.88,69,20,1.99,few clouds
11,Ndele,CF,8.4109,20.6473,69.48,98,84,3.94,broken clouds
12,Mataura,NZ,-46.1927,168.8643,42.48,95,20,4.03,few clouds
13,Anadyr,RU,64.75,177.4833,46.9,87,75,15.01,broken clouds
14,Brownsville,US,25.9018,-97.4975,93.18,68,1,10.36,clear sky
15,Yellowknife,CA,62.456,-114.3525,69.3,63,20,1.99,few clouds
16,Bluff,NZ,-46.6,168.3333,42.8,83,39,9.78,scattered clouds
17,Kruisfontein,ZA,-34.0033,24.7314,50.88,86,39,4.81,scattered clouds
18,Rocha,UY,-34.4833,-54.3333,42.64,66,17,18.77,few clouds
19,Hasaki,JP,35.7333,140.8333,77.29,87,100,14.88,overcast clouds
20,Karasjok,NO,69.4719,25.5112,46.51,87,37,5.77,scattered clouds
21,Castro,BR,-24.7911,-50.0119,44.74,50,9,10.96,clear sky
22,Teya,RU,60.3778,92.6267,54.75,87,100,0.63,light rain
23,Vaini,TO,-21.2,-175.2,69.96,73,40,10.36,scattered clouds
24,Cap Malheureux,MU,-19.9842,57.6142,70.47,76,100,13.0,light rain
25,Ushuaia,AR,-54.8,-68.3,46.02,87,75,0.0,broken clouds
26,Cidreira,BR,-30.1811,-50.2056,46.65,76,68,22.7,light rain
27,Leningradskiy,RU,69.3833,178.4167,33.24,100,100,16.55,snow
28,Keflavik,IS,64.0049,-22.5624,60.71,77,0,14.97,clear sky
29,Batagay-Alyta,RU,67.8006,130.4114,46.49,62,66,2.93,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,42.39,100,100,3.02,moderate rain
31,Ahipara,NZ,-35.1667,173.1667,55.67,90,41,5.26,scattered clouds
32,Port Hardy,CA,50.6996,-127.4199,66.38,63,20,4.61,few clouds
33,Busselton,AU,-33.65,115.3333,59.09,75,64,24.81,broken clouds
34,Lisakovsk,KZ,52.5369,62.4936,54.64,66,1,6.98,clear sky
35,Hilo,US,19.7297,-155.09,80.33,76,90,9.22,overcast clouds
36,Hithadhoo,MV,-0.6,73.0833,80.26,79,100,8.99,overcast clouds
37,Itarema,BR,-2.9248,-39.9167,79.14,81,5,15.21,clear sky
38,Hami,CN,42.8,93.45,87.76,19,17,9.78,few clouds
39,Saskylakh,RU,71.9167,114.0833,60.19,52,98,8.79,overcast clouds
40,Yuzhno-Kurilsk,RU,44.0306,145.8556,66.87,99,100,8.28,overcast clouds
41,Albany,US,42.6001,-73.9662,79.12,52,28,3.44,scattered clouds
42,Saldanha,ZA,-33.0117,17.9442,50.05,72,20,9.42,few clouds
43,Punta Arenas,CL,-53.15,-70.9167,46.51,81,0,11.5,clear sky
44,Nurota,UZ,40.5614,65.6886,77.09,18,0,9.82,clear sky
45,Enshi,CN,30.3,109.4833,71.13,95,11,0.94,few clouds
46,Meulaboh,ID,4.1363,96.1285,75.69,90,85,4.05,overcast clouds
47,Karlskrona,SE,56.1616,15.5866,68.45,83,8,11.63,clear sky
48,Vao,NC,-22.6667,167.4833,69.46,67,99,15.88,overcast clouds
49,Axim,GH,4.8699,-2.2405,77.5,75,99,6.15,overcast clouds
50,Zielona Gora,PL,51.9355,15.5064,65.07,37,42,7.2,scattered clouds
51,Ostrovnoy,RU,68.0531,39.5131,45.5,82,100,4.12,overcast clouds
52,Jamestown,US,42.097,-79.2353,81.72,53,75,5.75,broken clouds
53,Iqaluit,CA,63.7506,-68.5145,51.53,57,40,10.0,scattered clouds
54,Sola,VU,-13.8833,167.55,79.11,78,35,19.24,scattered clouds
55,Port Alfred,ZA,-33.5906,26.891,60.58,77,100,6.08,overcast clouds
56,Barrow,US,71.2906,-156.7887,42.82,87,90,20.71,light rain
57,Terney,RU,45.0503,136.6092,71.17,79,5,2.71,clear sky
58,Longyearbyen,SJ,78.2186,15.6401,44.44,81,90,11.5,overcast clouds
59,Iroquois Falls,CA,48.7669,-80.6831,75.34,47,100,3.96,light rain
60,Mount Isa,AU,-20.7333,139.5,53.37,62,6,0.0,clear sky
61,Namatanai,PG,-3.6667,152.4333,78.8,80,93,5.82,light rain
62,Hermanus,ZA,-34.4187,19.2345,51.91,71,22,16.89,few clouds
63,Karachi,PK,24.9056,67.0822,82.22,83,75,16.11,smoke
64,Farau,RO,46.3333,24.0167,73.22,88,2,1.68,clear sky
65,Winslow,US,35.0242,-110.6974,90.97,32,40,1.99,scattered clouds
66,Riyadh,SA,24.6877,46.7219,100.54,12,100,13.42,overcast clouds
67,Atherton,GB,53.5237,-2.4935,58.21,89,47,4.0,moderate rain
68,Torbay,CA,47.6666,-52.7314,74.17,86,75,11.5,broken clouds
69,Dongsheng,CN,39.8161,109.9776,68.0,60,2,4.52,clear sky
70,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,75,19.57,light rain
71,New Norfolk,AU,-42.7826,147.0587,44.1,83,96,3.0,light rain
72,Tripoli,LY,32.8752,13.1875,80.6,61,0,14.32,clear sky
73,Guadalupe Y Calvo,MX,26.1,-106.9667,72.54,40,85,4.68,overcast clouds
74,Igdir,TR,39.9237,44.045,67.93,68,20,3.27,few clouds
75,Chitrakonda,IN,18.1167,82.0833,73.0,94,100,2.73,moderate rain
76,Constitucion,CL,-35.3333,-72.4167,56.61,54,0,4.72,clear sky
77,Muros,ES,42.7762,-9.0603,67.08,70,0,12.26,clear sky
78,Caravelas,BR,-17.7125,-39.2481,74.14,87,4,9.93,clear sky
79,Prince Rupert,CA,54.3161,-130.3201,62.69,76,90,3.44,overcast clouds
80,Te Anau,NZ,-45.4167,167.7167,41.77,90,96,2.53,overcast clouds
81,Nanchang,CN,28.6833,115.8833,77.88,90,2,1.77,clear sky
82,Usinsk,RU,65.9939,57.5281,45.43,90,100,5.95,overcast clouds
83,Namibe,AO,-15.1961,12.1522,63.97,88,17,2.08,few clouds
84,Mahebourg,MU,-20.4081,57.7,70.25,83,75,19.57,light rain
85,Inuvik,CA,68.3499,-133.7218,66.96,63,75,9.22,shower rain
86,Oktyabrskoye,RU,43.0645,44.7417,59.14,94,94,2.24,overcast clouds
87,Takhtamygda,RU,54.1,123.5667,58.53,99,65,2.57,broken clouds
88,Bredasdorp,ZA,-34.5322,20.0403,49.32,66,29,9.22,scattered clouds
89,San Cristobal,VE,7.7669,-72.225,78.98,64,96,6.62,overcast clouds
90,Alekseyevsk,RU,57.8406,108.3492,65.52,68,92,4.32,overcast clouds
91,Tiksi,RU,71.6872,128.8694,39.52,87,80,6.96,broken clouds
92,Provideniya,RU,64.3833,-173.3,46.51,93,90,13.42,mist
93,Hobart,AU,-42.8794,147.3294,44.46,79,75,5.99,light rain
94,Ljungby,SE,56.8332,13.9408,63.79,91,8,5.3,clear sky
95,Pouebo,NC,-20.4,164.5667,70.05,68,52,8.93,broken clouds
96,Faanui,PF,-16.4833,-151.75,77.56,72,57,1.72,broken clouds
97,Faya,SA,18.3851,42.4509,68.11,63,53,7.0,broken clouds
98,Vila Praia De Ancora,PT,41.811,-8.8526,75.49,73,0,17.38,clear sky
99,Dumas,US,35.8656,-101.9732,98.02,24,1,13.8,clear sky
100,Kviteseid,NO,59.4022,8.4927,61.11,98,100,2.77,overcast clouds
101,Dingle,PH,10.9995,122.6711,77.86,86,81,8.61,broken clouds
102,Saryg-Sep,RU,51.5,95.6,53.58,89,100,1.95,overcast clouds
103,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,99,14.65,light rain
104,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,94,90,11.5,mist
105,Chokurdakh,RU,70.6333,147.9167,38.82,77,100,10.4,overcast clouds
106,Guamuchil,MX,25.4667,-108.1,99.75,37,0,10.38,clear sky
107,Ancud,CL,-41.8697,-73.8203,45.93,79,5,2.19,clear sky
108,Bengkulu,ID,-3.8004,102.2655,74.64,85,57,4.72,broken clouds
109,Yuksekova,TR,37.5736,44.2872,63.23,80,0,6.82,clear sky
110,Darhan,MN,49.4867,105.9228,62.19,68,98,2.33,overcast clouds
111,Impfondo,CG,1.6381,18.0667,74.37,81,90,4.36,overcast clouds
112,Avarua,CK,-21.2078,-159.775,75.25,78,20,4.61,few clouds
113,Sokolka,PL,53.4072,23.5023,72.66,63,66,6.87,broken clouds
114,Japura,ID,-0.3167,102.35,71.42,72,100,2.86,overcast clouds
115,Guerrero Negro,MX,27.9769,-114.0611,80.82,55,1,17.92,clear sky
116,Auki,SB,-8.7676,160.7034,78.62,82,24,2.73,few clouds
117,Aleksandrov Gay,RU,50.147,48.5704,73.94,38,90,6.4,overcast clouds
118,Abnub,EG,27.2696,31.1511,87.89,20,0,9.04,clear sky
119,Pevek,RU,69.7008,170.3133,32.76,98,100,25.37,snow
120,Maebaru,JP,33.55,130.2,78.76,82,0,0.58,clear sky
121,Ponta Do Sol,PT,32.6667,-17.1,74.71,78,3,5.06,clear sky
122,Saint-Augustin,CA,51.226,-58.6502,65.32,67,17,14.45,few clouds
123,Ribeira Grande,PT,38.5167,-28.7,75.6,69,20,12.66,few clouds
124,Chama,CH,47.1821,8.4636,66.81,91,75,1.14,broken clouds
125,Aklavik,CA,68.2191,-135.0107,66.92,63,75,4.61,shower rain
126,Ilulissat,GL,69.2167,-51.1,51.82,58,100,4.61,overcast clouds
127,Road Town,VG,18.4167,-64.6167,83.19,74,5,19.53,clear sky
128,Hambantota,LK,6.1241,81.1185,80.06,80,88,17.54,overcast clouds
129,Luderitz,NA,-26.6481,15.1594,55.63,79,0,15.48,clear sky
130,Kapaa,US,22.0752,-159.319,82.72,74,75,4.0,broken clouds
131,Gerash,IR,27.6652,54.1371,91.54,42,27,2.55,scattered clouds
132,Kenai,US,60.5544,-151.2583,65.03,75,90,14.97,overcast clouds
133,Ducheng,CN,23.2373,111.5317,78.17,92,48,1.99,scattered clouds
134,Jaguaribe,BR,-5.8906,-38.6219,87.57,37,60,3.38,broken clouds
135,Tatvan,TR,38.5067,42.2817,67.23,60,0,9.57,clear sky
136,Kavieng,PG,-2.5744,150.7967,82.15,76,94,6.24,light rain
137,Hamilton,US,39.1834,-84.5333,91.89,55,20,1.99,few clouds
138,Berlevag,NO,70.8578,29.0864,46.35,93,75,3.44,broken clouds
139,Dikson,RU,73.5069,80.5464,38.12,95,95,12.86,overcast clouds
140,Calvinia,ZA,-31.4707,19.776,40.93,88,8,4.43,clear sky
141,Kaitangata,NZ,-46.2817,169.8464,46.92,81,19,4.59,few clouds
142,Tsabong,BW,-26.0217,22.401,57.06,28,0,9.33,clear sky
143,Dakar,SN,14.6937,-17.4441,81.48,75,100,9.62,overcast clouds
144,Nouadhibou,MR,20.931,-17.0347,69.78,83,0,18.41,clear sky
145,Chuy,UY,-33.6971,-53.4616,42.78,73,18,16.58,few clouds
146,Touros,BR,-5.1989,-35.4608,81.5,81,7,16.8,clear sky
147,Awbari,LY,26.5921,12.7805,88.3,15,0,8.46,clear sky
148,Beringovskiy,RU,63.05,179.3167,48.2,72,100,12.55,overcast clouds
149,Pisco,PE,-13.7,-76.2167,68.05,68,0,8.05,clear sky
150,Nishihara,JP,26.1842,127.7558,79.88,94,75,2.3,broken clouds
151,Tezu,IN,27.9167,96.1667,77.22,91,100,3.98,overcast clouds
152,Kysyl-Syr,RU,63.8986,122.7617,53.78,56,0,4.05,clear sky
153,Puri,IN,19.8,85.85,79.25,84,100,18.43,moderate rain
154,Cabo San Lucas,MX,22.8909,-109.9124,98.82,43,20,9.22,few clouds
155,Okhotsk,RU,59.3833,143.3,54.03,80,100,9.93,overcast clouds
156,Ulety,RU,51.3572,112.4849,54.39,94,0,1.74,clear sky
157,Imeni Babushkina,RU,59.7573,43.1285,58.23,90,97,4.97,moderate rain
158,Bilma,NE,18.6853,12.9164,96.62,27,19,5.44,few clouds
159,Afonso Claudio,BR,-20.0742,-41.1239,67.66,55,56,1.45,broken clouds
160,Aswan,EG,24.0934,32.907,91.89,19,6,14.2,clear sky
161,Souillac,MU,-20.5167,57.5167,70.36,83,75,19.57,broken clouds
162,Kawambwa,ZM,-9.7915,29.0791,59.29,39,72,5.21,broken clouds
163,Strezhevoy,RU,60.7333,77.5889,57.18,98,98,4.59,light rain
164,Saint George,US,37.1041,-113.5841,99.95,23,1,3.0,clear sky
165,Salinopolis,BR,-0.6136,-47.3561,80.82,78,7,11.41,clear sky
166,Jhang,PK,33.6748,72.6963,76.6,90,100,6.04,overcast clouds
167,Port Hedland,AU,-20.3167,118.5667,60.85,82,3,9.22,clear sky
168,Rafai,CF,4.95,23.9167,68.07,90,99,2.08,overcast clouds
169,Sept-Iles,CA,50.2001,-66.3821,64.92,55,90,13.8,overcast clouds
170,Mayo,US,38.8876,-76.5119,94.41,56,1,1.01,clear sky
171,Kudahuvadhoo,MV,2.6708,72.8944,81.43,76,98,7.94,overcast clouds
172,Novyy Urengoy,RU,66.0833,76.6333,49.91,95,69,6.26,broken clouds
173,Simdega,IN,22.6167,84.5167,74.1,93,100,8.14,moderate rain
174,Salalah,OM,17.0151,54.0924,78.89,94,75,8.05,broken clouds
175,Dongying,CN,37.4564,118.4856,72.61,85,100,15.61,moderate rain
176,Bathsheba,BB,13.2167,-59.5167,77.61,94,75,6.91,broken clouds
177,Nanortalik,GL,60.1432,-45.2371,46.63,87,75,8.52,broken clouds
178,Merauke,ID,-8.4667,140.3333,76.28,92,52,10.29,broken clouds
179,Bardiyah,LY,31.7561,25.0865,80.06,66,0,7.87,clear sky
180,Anloga,GH,5.7947,0.8973,77.22,79,35,13.0,scattered clouds
181,Skibbereen,IE,51.55,-9.2667,58.8,71,2,14.97,clear sky
182,Bahia Blanca,AR,-38.7196,-62.2724,47.71,47,37,8.12,scattered clouds
183,Fairbanks,US,64.8378,-147.7164,61.14,93,90,8.05,light rain
184,Vryburg,ZA,-26.9566,24.7284,48.52,41,0,6.6,clear sky
185,Henties Bay,NA,-22.116,14.2845,58.86,75,0,2.48,clear sky
186,Great Falls,US,47.5002,-111.3008,88.99,25,1,3.0,clear sky
187,Lavrentiya,RU,65.5833,-171.0,44.04,99,100,8.72,overcast clouds
188,Waipawa,NZ,-41.4122,175.5153,46.92,81,4,4.09,clear sky
189,Tasiilaq,GL,65.6145,-37.6368,50.16,68,85,3.78,overcast clouds
190,Korla,CN,41.7597,86.1469,87.26,25,36,5.84,scattered clouds
191,Tuatapere,NZ,-46.1333,167.6833,42.82,86,92,6.55,overcast clouds
192,North Bend,US,43.4065,-124.2243,90.95,68,1,11.5,clear sky
193,Geraldton,AU,-28.7667,114.6,62.13,88,75,19.57,broken clouds
194,Puerto Carreno,CO,6.189,-67.4859,84.63,68,78,7.47,light rain
195,Westport,US,41.1415,-73.3579,83.75,59,75,1.01,broken clouds
196,Biala Podlaska,PL,52.0324,23.1165,67.95,83,7,3.8,clear sky
197,Butaritari,KI,3.0707,172.7902,82.62,70,20,9.91,few clouds
198,Bilibino,RU,68.0546,166.4372,37.11,97,100,3.65,light rain
199,Tura,IN,25.5198,90.2201,74.01,95,97,5.21,overcast clouds
200,Baruun-Urt,MN,46.6806,113.2792,63.39,76,71,2.48,broken clouds
201,Yenagoa,NG,4.9247,6.2642,75.42,82,96,6.73,overcast clouds
202,Chisinau,MD,47.0056,28.8575,75.92,63,0,1.99,clear sky
203,Sault Sainte Marie,CA,46.5168,-84.3333,80.89,41,1,5.75,haze
204,Canton,CN,23.1167,113.25,84.15,93,100,7.87,overcast clouds
205,Santa Luzia,BR,-19.7697,-43.8514,83.3,29,0,9.22,clear sky
206,Gritsovskiy,RU,54.1376,38.1604,61.65,93,94,8.61,overcast clouds
207,Mar Del Plata,AR,-38.0023,-57.5575,46.09,62,75,3.0,broken clouds
208,Rio Grande,BR,-32.035,-52.0986,42.91,74,75,23.2,broken clouds
209,Pangnirtung,CA,66.1451,-65.7125,53.6,66,20,16.11,few clouds
210,Meadow Lake,US,34.8014,-106.5436,92.82,26,17,7.25,few clouds
211,Douala,CM,4.0483,9.7043,78.71,83,40,4.61,scattered clouds
212,Martan-Chu,RU,43.0637,45.5622,62.49,85,100,3.2,overcast clouds
213,Thompson,CA,55.7435,-97.8558,64.56,52,75,16.11,broken clouds
214,San Juan,AR,-31.5375,-68.5364,54.45,27,0,5.44,clear sky
215,Labuhan,ID,-6.8844,112.2051,73.8,83,9,9.1,clear sky
216,Banda Aceh,ID,5.5577,95.3222,79.93,82,23,14.79,few clouds
217,Kvarkeno,RU,52.0833,59.725,55.71,71,0,8.37,clear sky
218,Jizan,SA,17.3333,42.6667,90.54,51,74,6.13,broken clouds
219,Ambilobe,MG,-13.2,49.05,67.32,84,48,1.68,scattered clouds
220,Kodiak,US,57.79,-152.4072,56.71,67,90,4.61,overcast clouds
221,Carnarvon,AU,-24.8667,113.6333,68.07,57,90,17.27,overcast clouds
222,Progreso,MX,21.2833,-89.6667,77.11,78,56,11.83,broken clouds
223,Mokhsogollokh,RU,61.4681,128.9203,53.4,63,0,3.98,clear sky
224,Naraini,IN,25.1833,80.4833,78.31,89,100,11.45,moderate rain
225,Shimoda,JP,34.6667,138.95,75.11,88,70,10.71,broken clouds
226,Kalmunai,LK,7.4167,81.8167,80.74,75,79,5.21,broken clouds
227,Isangel,VU,-19.55,169.2667,73.29,60,4,11.34,clear sky
228,Lingao,CN,19.9103,109.6859,82.04,80,100,8.41,overcast clouds
229,Inhambane,MZ,-23.865,35.3833,65.84,65,0,5.73,clear sky
230,Cayenne,GF,4.9333,-52.3333,84.24,78,75,4.0,broken clouds
231,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,72,20,19.57,few clouds
232,Alofi,NU,-19.0595,-169.9187,73.29,83,75,3.44,broken clouds
233,Parkes,AU,-33.1333,148.1833,39.34,82,0,4.21,clear sky
234,Yulara,AU,-25.2406,130.9889,49.84,71,0,5.75,clear sky
235,Launceston,AU,-41.45,147.1667,46.8,90,75,12.66,broken clouds
236,Abomsa,ET,9.9833,39.9833,73.47,65,100,3.33,overcast clouds
237,Dhidhdhoo,MV,6.8833,73.1,82.42,76,96,13.98,light rain
238,Grand Gaube,MU,-20.0064,57.6608,70.38,76,100,13.0,light rain
239,Mikumi,TZ,-7.4041,36.9831,62.96,51,0,2.26,clear sky
240,Milkovo,RU,54.7167,158.6167,63.07,74,31,0.56,scattered clouds
241,Shahe,CN,39.2708,113.5478,63.14,91,47,3.94,scattered clouds
242,Vardo,NO,70.3705,31.1107,46.6,93,75,3.44,broken clouds
243,Samur,RU,41.8253,48.486,70.9,57,97,4.25,overcast clouds
244,Doha,QA,25.2867,51.5333,98.91,63,97,2.3,overcast clouds
245,Lantawan,PH,10.6167,123.9833,80.29,81,76,6.31,broken clouds
246,Adrian,US,41.8975,-84.0372,89.04,58,75,5.01,broken clouds
247,Tabou,CI,4.423,-7.3528,76.14,80,92,6.51,overcast clouds
248,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,77,0,8.95,clear sky
249,Kibuye,RW,-2.0597,29.3482,67.08,62,66,2.33,broken clouds
250,Najran,SA,17.4924,44.1277,88.45,48,71,8.88,broken clouds
251,Mabaruma,GY,8.2,-59.7833,81.21,80,30,4.25,scattered clouds
252,Victoria,HK,22.2855,114.1577,84.96,86,100,1.01,overcast clouds
253,Tecoanapa,MX,16.5167,-98.75,88.07,61,53,11.01,broken clouds
254,Paamiut,GL,61.994,-49.6678,43.83,89,16,6.04,few clouds
