City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-07-30 01:00:38,-33.9258,18.4232,52.12,95,8,1.01
1,Khatanga,RU,2021-07-30 01:00:38,71.9667,102.5,79.97,50,0,9.57
2,New Norfolk,AU,2021-07-30 01:00:39,-42.7826,147.0587,53.92,69,100,1.99
3,Busselton,AU,2021-07-30 01:00:39,-33.65,115.3333,49.08,70,85,26.44
4,Keuruu,FI,2021-07-30 01:00:40,62.2667,24.7,60.98,98,96,5.82
5,Alamosa,US,2021-07-30 00:56:52,37.4695,-105.87,78.31,65,99,11.9
6,Ostrovnoy,RU,2021-07-30 01:00:40,68.0531,39.5131,40.78,92,9,2.89
7,Port Elizabeth,ZA,2021-07-30 01:00:41,-33.918,25.5701,48.09,85,2,7.4
8,Amazar,RU,2021-07-30 01:00:41,53.858,120.875,68.97,49,0,7.7
9,Sobolevo,RU,2021-07-30 01:00:42,54.4299,31.8996,63.21,98,79,4.07
10,Nikolaevo,BG,2021-07-30 01:00:42,42.6333,25.8,77.09,44,0,0.83
11,Rikitea,PF,2021-07-30 01:00:43,-23.1203,-134.9692,71.64,76,5,3.76
12,Port Alfred,ZA,2021-07-30 01:00:43,-33.5906,26.891,55.2,85,38,9.75
13,Upernavik,GL,2021-07-30 01:00:44,72.7868,-56.1549,45.27,87,99,4.23
14,Esperance,AU,2021-07-30 01:00:44,-33.8667,121.9,55.49,68,98,23.47
15,Khani,GE,2021-07-30 01:00:44,41.9563,42.9566,58.57,88,15,4.36
16,Mataura,NZ,2021-07-30 01:00:45,-46.1927,168.8643,50.49,78,100,3.47
17,Gizo,SB,2021-07-30 00:56:06,-8.103,156.8419,84.15,71,12,6.06
18,East London,ZA,2021-07-30 00:58:25,-33.0153,27.9116,57.6,67,0,6.4
19,Hermanus,ZA,2021-07-30 01:00:45,-34.4187,19.2345,51.91,81,18,7.85
20,Waipawa,NZ,2021-07-30 01:00:46,-41.4122,175.5153,59.45,61,6,4.21
21,Autun,FR,2021-07-30 01:00:46,46.95,4.3,58.15,95,2,0.54
22,Butaritari,KI,2021-07-30 01:00:46,3.0707,172.7902,83.8,71,7,13.09
23,Amapa,BR,2021-07-30 01:00:47,1.0,-52.0,71.26,98,16,1.72
24,Ushuaia,AR,2021-07-30 00:56:35,-54.8,-68.3,42.46,49,40,13.8
